Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,BreastCancer,costNN,1,2019-11-18-23-33-39,2019-11-18-23-33-46,7.0781989097595215,0.2472885032537961,15.0,286.0,61.0,99.0,0.23949579831932774,4.0,153.0,28.0,53.0,0.12924918156792262,0.055631285461621306,0.05350829948537712,0.05350829948537712,0.05314439461664018
SMO,BreastCancer,costNN,2,2019-11-18-23-33-56,2019-11-18-23-34-03,7.24913763999939,0.7570498915401301,242.0,59.0,53.0,107.0,0.7352941176470589,118.0,39.0,24.0,57.0,0.07641945362033795,0.07611158309427575,0.07611158309427575,0.06784918240107184,0.06124853393552827
SMO,Diabetes,costNN,1,2019-11-18-23-34-13,2019-11-18-23-34-21,7.808068752288818,0.6679841897233202,12.0,160.0,8.0,326.0,0.6335877862595419,2.0,94.0,2.0,164.0,0.22133092170951457,0.21201086651680182,0.20419793720935636,0.19932250829975492,0.19932250829975492
SMO,Diabetes,costNN,2,2019-11-18-23-34-31,2019-11-18-23-34-39,7.838618040084839,0.6541501976284585,3.0,169.0,6.0,328.0,0.6374045801526718,2.0,94.0,1.0,165.0,0.221690718618209,0.221690718618209,0.21940568930572696,0.21940568930572696,0.21940568930572696
SMO,Liver,costNN,1,2019-11-18-23-34-49,2019-11-18-23-34-53,3.4878785610198975,0.4185022026431718,95.0,0.0,132.0,0.0,0.423728813559322,50.0,0.0,68.0,0.0,0.23712979754046928,0.23712979754046928,0.23712979754046928,0.23544143387770894,0.23544143387770894
SMO,Liver,costNN,2,2019-11-18-23-35-03,2019-11-18-23-35-06,3.5467541217803955,0.4933920704845815,69.0,26.0,89.0,43.0,0.423728813559322,34.0,16.0,52.0,16.0,0.2289614723374352,0.2289614723374352,0.2289614723374352,0.2289614723374352,0.2289614723374352
SMO,Parkinsons,costNN,1,2019-11-18-23-35-16,2019-11-18-23-35-19,3.046081781387329,0.453125,26.0,70.0,0.0,32.0,0.417910447761194,12.0,39.0,0.0,16.0,0.26908045521587914,0.22224484976716308,0.22224484976716308,0.22224484976716308,0.22224484976716308
SMO,Parkinsons,costNN,2,2019-11-18-23-35-29,2019-11-18-23-35-33,3.4587314128875732,0.6953125,84.0,12.0,27.0,5.0,0.7164179104477612,47.0,4.0,15.0,1.0,0.27057387834247376,0.27057387834247376,0.2545670097039087,0.241918758054604,0.22094890642562753
SMO,Vertebral,costNN,1,2019-11-18-23-35-43,2019-11-18-23-35-46,3.502091884613037,0.3088235294117647,53.0,82.0,59.0,10.0,0.32075471698113206,30.0,45.0,27.0,4.0,0.18835241511093984,0.186300666688749,0.186300666688749,0.18374001854938124,0.18360922452193723
SMO,Vertebral,costNN,2,2019-11-18-23-35-56,2019-11-18-23-36-00,3.558104991912842,0.6274509803921569,127.0,8.0,68.0,1.0,0.6886792452830188,73.0,2.0,31.0,0.0,0.1807547779021445,0.1807547779021445,0.1807547779021445,0.1807547779021445,0.1807547779021445
